id,topic_id,type,text,answer,options,irt_a,irt_b
179,10,MCQ,What kernel design style is used for the Pintos operating system?,"""C""","{""A"": ""Microkernel"", ""B"": ""Hybrid Kernel"", ""C"": ""Monolithic Kernel"", ""D"": ""Exo-kernel""}",1,-1
180,10,MCQ,Which microkernel operating system has been formally verified to ensure correct behavior?,"""C""","{""A"": ""Linux"", ""B"": ""Windows NT"", ""C"": ""seL4"", ""D"": ""MINIX 3""}",1,-1
181,10,MCQ,What is the standard definition of a process in operating systems?,"""B""","{""A"": ""A compiled binary file on disk"", ""B"": ""A running program"", ""C"": ""A hardware execution unit"", ""D"": ""A thread of execution within a core""}",1,-1
182,10,MCQ,Which of the following Unix signals cannot be handled or ignored by a process?,"""B""","{""A"": ""SIGINT"", ""B"": ""SIGKILL"", ""C"": ""SIGTERM"", ""D"": ""SIGALRM""}",1,-1
183,10,MCQ,Which of the following is a key characteristic of a monolithic kernel?,"""B""","{""A"": ""The kernel runs entirely in user mode with separate servers."", ""B"": ""All parts of the kernel execute in a single address space."", ""C"": ""It is a minimal kernel providing only very basic functionality."", ""D"": ""It is designed specifically to run only on virtual machines.""}",1,-0.5
184,10,MCQ,What is the primary purpose of the Hardware Abstraction Layer (HAL) in Windows NT?,"""B""","{""A"": ""To manage user-mode applications and prevent them from crashing."", ""B"": ""To separate out direct memory access (DMA) operations, BIOS config, and CPU architecture specifics."", ""C"": ""To act as a compiler for high-level languages like C."", ""D"": ""To provide a graphical user interface for the desktop.""}",1,-0.5
185,10,MCQ,"In the context of operating systems, what is 'Time Slicing'?","""B""","{""A"": ""The process of dividing physical memory into pages."", ""B"": ""A method where CPU time is split into slices (quanta) to determine which process gets the next interval."", ""C"": ""The time it takes to switch between kernel mode and user mode."", ""D"": ""The duration required to load a process from disk to memory.""}",1,-0.5
186,10,MCQ,Which Unix system call is used to replace the program being run in the current process with a new program?,"""C""","{""A"": ""fork"", ""B"": ""waitpid"", ""C"": ""execve"", ""D"": ""kill""}",1,-0.5
187,10,MCQ,What does a POSIX fork() call return to the child process upon successful creation?,"""D""","{""A"": ""The process ID (PID) of the parent process."", ""B"": ""-1"", ""C"": ""The process ID (PID) of the child process."", ""D"": ""0""}",1,-0.5
188,10,MCQ,Which of the following is a major disadvantage of User Level Threads?,"""B""","{""A"": ""Thread creation and termination are extremely slow."", ""B"": ""Any blocking system call on a single thread blocks all threads in that process."", ""C"": ""They require expensive kernel involvement for simple thread switches."", ""D"": ""They cannot share the same address space within a process.""}",1,-0.5
189,10,MCQ,Which of the following instructions is typically allowed in both user mode and kernel mode?,"""A""","{""A"": ""Read the time of day clock"", ""B"": ""Disable all interrupts"", ""C"": ""Change the memory map"", ""D"": ""Set the time of day""}",1,0
190,10,MCQ,"In a smartphone operating system, which resource is of the highest priority to conserve, often requiring the operating system to put the CPU to sleep or turn off unused hardware features?","""C""","{""A"": ""Computational performance"", ""B"": ""Network bandwidth"", ""C"": ""Battery power"", ""D"": ""Disk storage capacity""}",1,0
191,10,MCQ,What is a primary disadvantage of a microkernel operating system compared to a monolithic kernel?,"""B""","{""A"": ""Increased complexity of the kernel itself"", ""B"": ""High interprocess communication (IPC) overhead"", ""C"": ""Reduced system robustness when a server crashes"", ""D"": ""Inability to run servers in user-mode""}",1,0
192,10,MCQ,What happens in a pure user-level thread implementation if one thread makes a blocking system call for I/O?,"""C""","{""A"": ""Only the calling thread is blocked, while other threads in the process continue to run."", ""B"": ""The kernel automatically spawns a new kernel thread to handle the other user-level threads."", ""C"": ""All threads in the process are blocked because the kernel is unaware of individual threads and only sees the single process."", ""D"": ""The blocking call is ignored, and the thread immediately yields the CPU.""}",1,0
193,10,MCQ,"If each process running on a single-processor system spends 80% of its time waiting for I/O, what is the minimum number of processes that must be running concurrently to ensure that 10% or less of the CPU time is wasted?","""C""","{""A"": ""3 processes"", ""B"": ""8 processes"", ""C"": ""11 processes"", ""D"": ""15 processes""}",1,0
194,10,MCQ,"If a system runs multiple processes that each spend 80% of their time waiting for I/O, what is the minimum number of such processes that must be active concurrently to ensure that the CPU is wasted (idle) 10% or less of the time?","""C""","{""A"": ""5"", ""B"": ""8"", ""C"": ""11"", ""D"": ""13""}",1.1,0.5
195,10,MCQ,"Consider the following C program segment:

```c
for (int i = 0; i < 4; i++) {
    if (fork()) {
        printf(\""%d\"", i);
        fflush(stdout);
    }
}
```

Assuming all `fork()` calls succeed, how many times will the number `2` be printed?","""B""","{""A"": ""2"", ""B"": ""4"", ""C"": ""8"", ""D"": ""16""}",1.1,0.5
196,10,MCQ,"Consider a program with the following structure:

```c
printf(\""Process A\"");
if (fork() == 0) {
    printf(\""Process B\"");
    if (fork() == 0) {
        printf(\""Process C\"");
    }
} else if (fork() == 0) {
    printf(\""Process D\"");
}
```

Which of the following correctly describes the relationship and execution order of these processes?","""B""","{""A"": ""Process C must be created before Process D because the code block for Process B and C appears first."", ""B"": ""Process D can be created before Process C because process scheduling is non-deterministic, allowing the parent Process A to execute its second fork before Process B executes its fork."", ""C"": ""Process D cannot be created unless Process C has already terminated and returned its exit status."", ""D"": ""Process B and Process D are sibling processes created by the same `fork()` call.""}",1.1,0.5
197,10,MCQ,"In a multi-threaded application, if a single thread invokes the standard POSIX `fork()` system call, what is the behavior regarding the threads in the newly created child process?","""B""","{""A"": ""The child process duplicates all threads that were running in the parent process."", ""B"": ""The child process contains only a duplicate of the calling thread; other threads from the parent process do not exist in the child."", ""C"": ""The child process terminates immediately because multi-threaded processes cannot safely call `fork()`."", ""D"": ""The child process starts with a single new thread executing from the `main()` function, ignoring the state of the calling thread.""}",1.1,0.5
198,10,MCQ,"Why does a page fault or a blocking system call in a user-level thread implementation cause the entire process (including all other runnable threads) to block, whereas in a kernel-level thread implementation it does not?","""B""","{""A"": ""User-level threads share a single execution stack, meaning a block on one thread's stack physically prevents access to others."", ""B"": ""The operating system kernel is unaware of user-level threads and only schedules the containing process as a single entity; thus, any blocking event blocks the entire process."", ""C"": ""Kernel-level threads run in kernel mode and can bypass page faults by directly accessing physical memory addresses."", ""D"": ""User-level thread libraries intentionally block all threads during any I/O operation to prevent data corruption in the shared heap.""}",1.1,0.5
199,10,MCQ,Which of the following instructions or operations is typically permitted to execute in both User Mode and Kernel Mode?,"""B""","{""A"": ""Disabling all hardware interrupts."", ""B"": ""Reading the time-of-day clock."", ""C"": ""Changing the memory map / page tables."", ""D"": ""Setting the system's time-of-day clock.""}",1.1,0.5
200,10,MCQ,"In a multiprogramming system, if each process spends a fraction \(p\) of its time waiting for I/O, the probability that all \(n\) processes are waiting for I/O simultaneously is \(p^n\). If you design a system where each process spends \(70\%\) of its time waiting for I/O, what is the minimum number of active processes required to keep the CPU busy at least \(95\%\) of the time?","""C""","{""A"": ""7"", ""B"": ""8"", ""C"": ""9"", ""D"": ""10""}",1.2,1
201,10,MCQ,"When comparing User-Level Threads (ULT) and Kernel-Level Threads (KLT), which of the following correctly evaluates the system's behavior when a thread encounters a page fault (such as on its stack or swapped memory)?","""B""","{""A"": ""In both ULT and KLT, the kernel can identify the specific thread that caused the page fault and block only that thread, allowing others to run."", ""B"": ""In ULT, a page fault blocks the entire process (including all of its threads) because the kernel only manages processes; in KLT, the kernel can block only the faulting thread while letting other threads in the process continue."", ""C"": ""In KLT, a page fault blocks the entire process because the kernel-level scheduler must reload the entire process control block; in ULT, the user-level library can bypass the kernel to handle the page fault without blocking."", ""D"": ""In ULT, page faults are handled entirely in user space by the thread table, meaning no threads are ever blocked; in KLT, page faults always result in process termination.""}",1.2,1
202,10,MCQ,"Consider a program where Process A executes the following code:

```c
printf(""Process A"");
if (fork() == 0) {
    printf(""Process B"");
    if (fork() == 0) {
        printf(""Process C"");
    }
} else if (fork() == 0) {
    printf(""Process D"");
}
```

Which of the following correctly describes the process hierarchy and the creation order of these processes?","""A""","{""A"": ""Process A is the parent of B and D, while Process B is the parent of C; due to scheduling non-determinism, Process D can be created before Process C."", ""B"": ""Process A is the parent of B, B is the parent of C, and C is the parent of D; Process D must always be created last."", ""C"": ""Process A is the parent of B, C, and D; all three children are created concurrently directly by Process A."", ""D"": ""Process A is the parent of B, B is the parent of C, and Process B is also the parent of D; Process C must always be created before Process D.""}",1.2,1
203,10,MCQ,Which of the following statements correctly analyzes the security and architectural reasons for restricting certain CPU instructions to Kernel Mode rather than allowing them in User Mode?,"""B""","{""A"": ""Reading the time of day clock must be restricted to Kernel Mode to prevent user processes from altering the system's chronological order, whereas changing the memory map can be safely done in User Mode."", ""B"": ""Disabling all interrupts must be restricted to Kernel Mode because interrupts are critical for kernel operations like scheduling; allowing a user-mode process to disable interrupts could allow it to monopolize the CPU indefinitely."", ""C"": ""Changing the memory map is allowed in User Mode to facilitate rapid virtual-to-physical address translation, while setting the time of day is restricted to Kernel Mode solely to save CPU cycles."", ""D"": ""All instructions are allowed in both modes, but User Mode executes them with a software delay to simulate lower privilege levels.""}",1.2,1
204,10,MCQ,What is the name of the operating system mascot that Linus Torvalds chose after being bitten by a penguin in 1996?,"""B""","{""A"": ""Pintos"", ""B"": ""Tux"", ""C"": ""Minix"", ""D"": ""Hurd""}",1,-1
205,10,MCQ,Which of the following is a key characteristic of a Monolithic Kernel?,"""C""","{""A"": ""It runs entirely in user-mode to prevent crashes."", ""B"": ""It is structured with separate servers for file access and device I/O."", ""C"": ""The entire kernel executes as a single executable within its own address space."", ""D"": ""It is a minimal kernel providing only very basic interprocess communication.""}",1,-1
206,10,MCQ,What is the name of the process control block (PCB) in the Linux kernel?,"""C""","{""A"": ""proc_struct"", ""B"": ""pcb_t"", ""C"": ""task_struct"", ""D"": ""control_block""}",1,-1
207,10,MCQ,Which POSIX function is used to create a new thread?,"""B""","{""A"": ""fork()"", ""B"": ""pthread_create()"", ""C"": ""pthread_yield()"", ""D"": ""execve()""}",1,-1
208,10,MCQ,Which of the following is an advantage of monolithic kernels?,"""C""","{""A"": ""Excellent robustness, as failures in one component do not crash the system"", ""B"": ""Low complexity, making it easy to prove correctness"", ""C"": ""Fast communication between kernel components since they share a single address space"", ""D"": ""Strong isolation between different parts of the kernel""}",1,-0.5
209,10,MCQ,What is the primary purpose of POSIX in operating systems?,"""A""","{""A"": ""To provide a Unix-like interface that allows developers to write programs that can run across multiple operating systems"", ""B"": ""To serve as the lowest-level hardware abstraction layer specifically for Windows NT"", ""C"": ""To manage battery power and CPU sleep cycles on smartphones"", ""D"": ""To act as a virtual machine that compiles Java bytecode into native machine code""}",1,-0.5
210,10,MCQ,Which system call is used in Linux to implement the 'fork' process creation?,"""B""","{""A"": ""execve"", ""B"": ""clone"", ""C"": ""waitpid"", ""D"": ""kill""}",1,-0.5
211,10,MCQ,What does a context switch in an operating system involve?,"""A""","{""A"": ""Switching the CPU from executing one process to another, saving and restoring memory maps, registers, and other process states"", ""B"": ""Converting a monolithic kernel into a microkernel dynamically"", ""C"": ""Moving a process from user mode to kernel mode during a standard function call"", ""D"": ""Recompiling the operating system binary to run on a different processor architecture""}",1,-0.5
212,10,MCQ,Which of the following is a key characteristic of User Level Threads?,"""B""","{""A"": ""The kernel is fully aware of individual threads and schedules them directly."", ""B"": ""A blocking system call on one thread blocks all other threads in that process."", ""C"": ""They require expensive kernel involvement for creation and switching."", ""D"": ""They cannot be customized with application-specific schedulers.""}",1,-0.5
213,10,MCQ,"Under resource management, different types of operating systems prioritize different resources. What resource is specifically highlighted as a critical constraint that must be conserved by a smartphone's operating system?","""C""","{""A"": ""Computational performance of the processors"", ""B"": ""Network bandwidth and congestion control"", ""C"": ""Battery power"", ""D"": ""Virtual memory swap space""}",1,0
214,10,MCQ,"In operating system design, certain instructions are restricted to kernel mode to prevent user processes from corrupting the system. Which of the following instructions is typically allowed in both user mode and kernel mode?","""B""","{""A"": ""Disable all interrupts"", ""B"": ""Read the time of day clock"", ""C"": ""Change the memory map"", ""D"": ""Set the time of day""}",1,0
215,10,MCQ,"If each process running on a system spends \(80\%\) of its time waiting for I/O, what is the minimum number of such processes that must be running concurrently to ensure that the CPU is wasted \(10\%\) or less of the time?","""C""","{""A"": ""8 processes"", ""B"": ""10 processes"", ""C"": ""11 processes"", ""D"": ""12 processes""}",1,0
216,10,MCQ,What is a major disadvantage of implementing threads entirely at the user level (User Level Threads) rather than at the kernel level?,"""B""","{""A"": ""Thread creation, termination, and switching are significantly slower."", ""B"": ""Any blocking system call (such as for I/O) made by a single thread will block all threads in that process."", ""C"": ""Applications cannot customize their own thread schedulers."", ""D"": ""It requires expensive kernel interaction for basic thread synchronization.""}",1,0
